"Outcome","Complete_pair_fraction","Matching","Matching_min_Gamma_accept","Proposed","Proposed_min_Gamma_accept"
"cesd","0.663","0.0677 (A)","NA","0.0988 (A)","NA"
"depressed","0.642","0.0010 (R)","1.40","0.0015 (R)","1.30"
"inter_personal","0.653","0.3030 (A)","NA","0.4472 (A)","NA"
"low_positive","0.674","0.1966 (A)","NA","0.2825 (A)","NA"
"somatic","0.653","0.5735 (A)","NA","0.8418 (A)","NA"
"pwb","0.584","0.9366 (A)","NA","1.0000 (A)","NA"
"autonomy","0.584","0.1399 (A)","NA","0.2218 (A)","NA"
"environmental_mastery","0.584","0.9745 (A)","NA","1.0000 (A)","NA"
"positive_relation","0.579","0.4035 (A)","NA","0.6419 (A)","NA"
"purpose_in_life","0.584","0.3125 (A)","NA","0.4955 (A)","NA"
"self_acceptance","0.584","0.4928 (A)","NA","0.7770 (A)","NA"
"alcohol_dep","1.000","0.0002 (R)","2.00","0.0002 (R)","2.00"
"drinking_days","0.500","0.9203 (A)","NA","1.0000 (A)","NA"
"regular_at_risk","0.900","0.1615 (A)","NA","0.1795 (A)","NA"
"SF_12","0.632","0.1475 (A)","NA","0.2201 (A)","NA"
"smoking","0.189","0.6012 (A)","NA","0.9988 (A)","NA"
"income_to_poverty_level","0.900","0.2514 (A)","NA","0.2794 (A)","NA"
