"Outcome","Complete_pair_fraction","Matching","Matching_min_Gamma_accept","Proposed","Proposed_min_Gamma_accept"
"cesd","0.663","0.0338 (R)","1.10","0.0494 (R)","1.10"
"depressed","0.642","0.0005 (R)","1.50","0.0008 (R)","1.40"
"inter_personal","0.653","0.1515 (A)","NA","0.2075 (A)","NA"
"low_positive","0.674","0.0983 (A)","NA","0.1413 (A)","NA"
"somatic","0.653","0.2868 (A)","NA","0.4209 (A)","NA"
"pwb","0.584","0.5317 (A)","NA","0.8431 (A)","NA"
"autonomy","0.584","0.9301 (A)","NA","1.0000 (A)","NA"
"environmental_mastery","0.584","0.5128 (A)","NA","0.7532 (A)","NA"
"positive_relation","0.579","0.2017 (A)","NA","0.2818 (A)","NA"
"purpose_in_life","0.584","0.1562 (A)","NA","0.2477 (A)","NA"
"self_acceptance","0.584","0.2464 (A)","NA","0.3885 (A)","NA"
"alcohol_dep","1.000","0.0001 (R)","2.30","0.0001 (R)","2.30"
"drinking_days","0.500","0.5398 (A)","NA","0.9944 (A)","NA"
"regular_at_risk","0.900","0.9192 (A)","NA","1.0000 (A)","NA"
"SF_12","0.632","0.0738 (A)","NA","0.1100 (A)","NA"
"smoking","0.189","0.6994 (A)","NA","0.5782 (A)","NA"
"income_to_poverty_level","0.900","0.8743 (A)","NA","0.9714 (A)","NA"
