"Outcome","Complete_pair_fraction","Matching","Matching_min_Gamma_accept","Proposed","Proposed_min_Gamma_accept"
"cesd","0.663","0.0338 (R)","1.10","0.0665 (A)","NA"
"depressed","0.642","0.0005 (R)","1.50","0.0010 (R)","1.40"
"inter_personal","0.653","0.1515 (A)","NA","0.2801 (A)","NA"
"low_positive","0.674","0.0983 (A)","NA","0.1869 (A)","NA"
"somatic","0.653","0.2868 (A)","NA","0.4913 (A)","NA"
"pwb","0.584","0.5317 (A)","NA","0.7618 (A)","NA"
"autonomy","0.584","0.9301 (A)","NA","0.9951 (A)","NA"
"environmental_mastery","0.584","0.5128 (A)","NA","0.5335 (A)","NA"
"positive_relation","0.579","0.2017 (A)","NA","0.3628 (A)","NA"
"purpose_in_life","0.584","0.1562 (A)","NA","0.2881 (A)","NA"
"self_acceptance","0.584","0.2464 (A)","NA","0.4321 (A)","NA"
"alcohol_dep","1.000","0.0001 (R)","2.30","0.0001 (R)","2.30"
"drinking_days","0.500","0.5398 (A)","NA","0.7882 (A)","NA"
"regular_at_risk","0.900","0.9192 (A)","NA","0.3665 (A)","NA"
"SF_12","0.632","0.0738 (A)","NA","0.1421 (A)","NA"
"smoking","0.189","0.6994 (A)","NA","0.6629 (A)","NA"
"income_to_poverty_level","0.900","0.8743 (A)","NA","0.9842 (A)","NA"
