"Outcome","Complete_pair_fraction","Matching","Matching_min_Gamma_accept","Proposed","Proposed_min_Gamma_accept"
"cesd","0.687","0.0813 (A)","NA","0.0855 (A)","NA"
"depressed","0.663","0.0066 (R)","1.10","0.0071 (R)","1.10"
"inter_personal","0.671","0.3694 (A)","NA","0.2913 (A)","NA"
"low_positive","0.697","0.1896 (A)","NA","0.1975 (A)","NA"
"somatic","0.670","0.3562 (A)","NA","0.3836 (A)","NA"
"pwb","0.544","0.0014 (R)","1.20","0.0022 (R)","1.20"
"autonomy","0.543","0.1008 (A)","NA","0.1563 (A)","NA"
"environmental_mastery","0.543","0.0246 (R)","1.10","0.0381 (R)","1.10"
"positive_relation","0.539","0.0092 (R)","1.10","0.0144 (R)","1.10"
"purpose_in_life","0.540","0.1080 (A)","NA","0.1679 (A)","NA"
"self_acceptance","0.543","0.0049 (R)","1.20","0.0076 (R)","1.10"
"alcohol_dep","1.000","0.2253 (A)","NA","0.2253 (A)","NA"
"drinking_days","0.466","0.8874 (A)","NA","0.8441 (A)","NA"
"regular_at_risk","0.863","0.5600 (A)","NA","0.5746 (A)","NA"
"SF_12","0.461","0.6393 (A)","NA","1.0000 (A)","NA"
"smoking","0.190","0.5462 (A)","NA","0.9881 (A)","NA"
"income_to_poverty_level","0.857","0.0010 (R)","1.20","0.0010 (R)","1.20"
