"Outcome","Complete_pair_fraction","Matching","Matching_min_Gamma_accept","Proposed","Proposed_min_Gamma_accept"
"cesd","0.687","0.0406 (R)","1.10","0.0164 (R)","1.10"
"depressed","0.663","0.0033 (R)","1.20","0.0036 (R)","1.20"
"inter_personal","0.671","0.1847 (A)","NA","0.1989 (A)","NA"
"low_positive","0.697","0.0948 (A)","NA","0.0987 (A)","NA"
"somatic","0.670","0.1781 (A)","NA","0.1918 (A)","NA"
"pwb","0.544","0.0007 (R)","1.20","0.0011 (R)","1.20"
"autonomy","0.543","0.9496 (A)","NA","1.0000 (A)","NA"
"environmental_mastery","0.543","0.0123 (R)","1.10","0.0191 (R)","1.10"
"positive_relation","0.539","0.0046 (R)","1.20","0.0072 (R)","1.10"
"purpose_in_life","0.540","0.0540 (A)","NA","0.0840 (A)","NA"
"self_acceptance","0.543","0.0024 (R)","1.20","0.0038 (R)","1.20"
"alcohol_dep","1.000","0.1126 (A)","NA","0.1126 (A)","NA"
"drinking_days","0.466","0.4437 (A)","NA","0.2088 (A)","NA"
"regular_at_risk","0.863","0.7200 (A)","NA","0.7387 (A)","NA"
"SF_12","0.461","0.6803 (A)","NA","0.7498 (A)","NA"
"smoking","0.190","0.2731 (A)","NA","0.5196 (A)","NA"
"income_to_poverty_level","0.857","0.9995 (A)","NA","1.0000 (A)","NA"
